"Environment and Climate Change Canada"
"Monthly Values for January - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","-8.1","0","1.9","10.7","0","-24.9","0","10.8","0","46.0","7.0","0","33.0","10.0","3","",,NA,"807.7","0.0","301222F"
"ELK ISLAND NAT PARK","53.683","-112.868","AB","-9.7","0","2.3","12.8","0","-29.3","0","",,NA,"14.8","0","81.0","12.0","4","",,NA,"857.9","0.0","3012275"
"FABYAN","52.967","-111.000","AB","-11.9","0","2.2","5.0","0","-34.0","0","12.4","0","66.0","16.4","0","83.0","0.0","6","","",NA,"927.4","0.0","3012515"
"FERINTOSH AGCM","52.744","-112.858","AB","-10.0","1",NA,"7.3","1","-26.7","1","",,NA,"4.8","1",NA,"","1","",,NA,"840.6","0.0","3012590"
"FORESTBURG PLANT SITE","52.467","-112.120","AB","-9.7","2","0.5","7.0","2","-30.0","2","6.4","2",NA,"7.4","2",NA,"0.0","5","","",NA,"804.3","0.0","3012652"
"FORESTBURG AGCM","52.548","-112.123","AB","-10.2","0",NA,"7.1","0","-29.9","0","",,NA,"4.9","1",NA,"","0","",,NA,"873.9","0.0","3012653"
"FORT SASKATCHEWAN","53.717","-113.183","AB","-10.2","20","1.7","9.0","20","-37.0","20","4.5","20",NA,"4.5","20",NA,"","3","","",NA,"310.4","0.0","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","-11.2","3",NA,"6.1","3","-35.3","2","",,NA,"22.1","4",NA,"","6","",,NA,"817.7","0.0","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","-9.5","3",NA,"11.2","2","-24.1","1","",,NA,"",,NA,"","","",,NA,"771.1","0.0","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","-10.5","0",NA,"5.7","0","-28.7","0","",,NA,"9.0","9",NA,"","2","",,NA,"883.7","0.0","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","-11.2","1",NA,"7.2","1","-32.2","0","",,NA,"9.0","1",NA,"","1","",,NA,"875.0","0.0","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","-11.3","1",NA,"7.5","1","-34.0","1","",,NA,"26.3","3",NA,"","11","",,NA,"878.4","0.0","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","-9.7","7",NA,"6.2","6","-32.3","1","",,NA,"9.2","9",NA,"","2","",,NA,"664.9","0.0","3013362"
"KILLAM AGDM","52.848","-111.872","AB","-13.0","8",NA,"-0.3","7","-32.0","4","",,NA,"32.8","9",NA,"","13","",,NA,"713.6","0.0","3013640"
"KESSLER AGCM","52.290","-111.113","AB","-10.5","4",NA,"7.9","3","-32.9","1","",,NA,"7.3","5",NA,"","3","",,NA,"769.6","0.0","3013644"
"KITSCOTY AGCM","53.353","-110.416","AB","-11.5","0",NA,"4.2","0","-35.8","0","",,NA,"28.1","1",NA,"","10","",,NA,"915.0","0.0","3013660"
"LEGAL AGCM","54.003","-113.474","AB","-10.6","4",NA,"6.6","2","-31.3","2","",,NA,"8.8","5",NA,"","3","",,NA,"770.9","0.0","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","-12.1","2",NA,"5.4","2","-38.0","1","",,NA,"30.9","3",NA,"","8","",,NA,"871.6","0.0","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","-12.5","3",NA,"4.4","3","-32.8","3","",,NA,"0.2","5",NA,"","0","",,NA,"853.2","0.0","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","-11.5","0","2.7","4.8","0","-32.8","0","28.0","0","164.0","36.4","0","231.0","17.0","10","","",NA,"914.9","0.0","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"8.4","1",NA,"11.4","1",NA,"13.0","5","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","-11.0","0",NA,"4.9","0","-35.0","0","",,NA,"24.2","0",NA,"","7","",,NA,"900.4","0.0","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"7.4","0","41.0","10.0","0","52.0","0.0","4","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","-10.8","5",NA,"6.0","3","-32.9","2","",,NA,"5.9","9",NA,"7.0","1","",,NA,"749.7","0.0","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","-11.7","7",NA,"5.1","5","-39.4","4","",,NA,"17.5","10",NA,"","4","",,NA,"712.4","0.0","3014690"
"NEW SEREPTA AGCM","53.262","-113.165","AB","-10.0","0",NA,"7.6","0","-27.5","0","",,NA,"8.2","0",NA,"","1","",,NA,"869.5","0.0","3014795"
"OLIVER AGDM","53.650","-113.350","AB","-10.9","3",NA,"9.5","2","-27.4","1","",,NA,"",,NA,"","","",,NA,"808.6","0.0","3014921"
"RADWAY AGCM","53.995","-112.879","AB","-11.5","0",NA,"5.6","0","-33.9","0","",,NA,"",,NA,"","","",,NA,"914.6","0.0","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","-11.0","0",NA,"5.9","0","-31.4","0","",,NA,"17.8","0",NA,"14.0","4","",,NA,"898.8","0.0","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","-8.5","12",NA,"5.7","9","-33.5","10","",,NA,"5.4","12",NA,"","1","",,NA,"503.4","0.0","3015480"
"RIVERCOURSE AGCM","53.019","-110.102","AB","-11.3","2",NA,"4.2","1","-34.9","2","",,NA,"18.5","3",NA,"","5","",,NA,"850.6","0.0","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","-11.1","4",NA,"12.5","4","-32.7","4","",,NA,"18.6","4",NA,"25.0","6","",,NA,"785.1","0.0","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","-10.6","0",NA,"6.7","0","-29.7","0","",,NA,"6.1","0",NA,"","1","",,NA,"887.9","0.0","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","-11.5","5",NA,"5.7","4","-34.9","2","",,NA,"19.8","6",NA,"","6","",,NA,"766.7","0.0","3015673"
"ST. PAUL AGCM","54.011","-111.272","AB","",,NA,"-6.0","30","-14.9","29","",,NA,"",,NA,"","","",,NA,"","","3015676"
"SEDALIA AGCM","51.590","-110.755","AB","-10.8","6",NA,"6.0","4","-30.7","4","",,NA,"7.0","6",NA,"","1","",,NA,"719.3","0.0","3015797"
"SEDGEWICK TOWN","52.783","-111.700","AB","-9.9","0","3.6","8.0","0","-35.0","0","8.0","0","47.0","21.0","0","121.0","0.0","4","","",NA,"863.5","0.0","3015808"
"SHONTS AGCM","53.333","-112.539","AB","-10.3","4",NA,"7.3","3","-34.3","2","",,NA,"14.2","4",NA,"","3","",,NA,"763.6","0.0","3015900"
"SMOKY LAKE AGDM","54.278","-112.499","AB","-13.3","14",NA,"0.3","14","-29.4","13","",,NA,"7.9","14",NA,"","3","",,NA,"531.6","0.0","3016022"
"SPONDIN AGCM","51.816","-111.683","AB","-11.0","4",NA,"6.3","3","-31.6","2","",,NA,"11.2","5",NA,"","1","",,NA,"783.7","0.0","3016070"
"STETTLER AGDM","52.347","-112.596","AB","-9.2","3",NA,"5.9","3","-28.1","0","",,NA,"6.8","3",NA,"","1","",,NA,"761.2","0.0","3016124"
"THORSBY AGCM","53.217","-113.895","AB","-9.1","7",NA,"11.0","4","-27.3","3","",,NA,"6.6","7",NA,"","2","",,NA,"650.8","0.0","3016441"
"TOMAHAWK AGDM","53.439","-114.718","AB","-8.1","11",NA,"5.7","11","-26.4","7","",,NA,"6.8","11",NA,"","2","",,NA,"521.3","0.0","3016505"
"TULLIBY LAKE AGCM","53.664","-110.081","AB","-11.5","3",NA,"3.7","2","-27.6","1","",,NA,"28.3","3",NA,"","6","",,NA,"827.1","0.0","3016593"
"UNCAS","53.500","-113.033","AB","",,NA,"",,"",,"10.8","0",NA,"18.4","0",NA,"13.0","5","","",NA,"","","3016650"
"TWO HILLS AGDM","53.625","-111.678","AB","-10.5","6",NA,"4.7","5","-30.1","2","",,NA,"18.3","7",NA,"","4","",,NA,"712.7","0.0","3016655"
"VERMILION AGDM","53.344","-110.882","AB","-10.7","4",NA,"4.8","2","-37.5","2","",,NA,"15.3","5",NA,"","3","",,NA,"775.6","0.0","3016802"
"VIKING AGCM","53.182","-111.732","AB","-7.4","18",NA,"6.4","11","-26.2","17","",,NA,"10.8","19",NA,"","2","",,NA,"330.7","0.0","3016841"
"VIKING NORTH 3","53.283","-111.767","AB","-9.4","2",NA,"5.0","1","-34.0","1","9.5","1",NA,"14.5","1",NA,"11.0","7","","",NA,"795.6","0.0","3016845"
"VILNA AGCM","54.130","-111.921","AB","-10.9","4",NA,"4.8","2","-35.0","2","",,NA,"17.1","4",NA,"","3","",,NA,"780.8","0.0","3016852"
"VIOLET GROVE CS","53.144","-115.126","AB","-7.9","1",NA,"13.8","1","-25.7","0","",,NA,"",,NA,"13.0","","",,NA,"777.9","0.0","3016860"
"VEGREVILLE","53.505","-112.098","AB","-11.3","0","2.0","5.8","0","-35.4","0","",,NA,"27.7","0","183.0","13.0","8","",,NA,"907.3","0.0","3016GF0"
"WETASKIWIN AGCM","52.980","-113.444","AB","-10.6","8",NA,"8.6","7","-27.3","1","",,NA,"5.0","8",NA,"","1","",,NA,"656.8","0.0","3017282"
