"Environment and Climate Change Canada"
"Monthly Values for December - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-15.0","8",NA,"2.7","8","-34.5","2","",,NA,"7.6","8",NA,"","3","",,NA,"758.3","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-14.1","0",NA,"2.3","0","-33.9","0","",,NA,"7.0","0",NA,"","2","",,NA,"993.9","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-13.2","0",NA,"2.5","0","-31.1","0","",,NA,"6.7","0",NA,"","2","",,NA,"966.8","0.0","3010162"
"ANDREW","54.017","-112.233","AB","-14.6","6","-2.9","4.0","6","-32.0","6","11.4","6",NA,"11.4","6",NA,"","4","","",NA,"816.0","0.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","-11.6","6",NA,"3.8","6","-27.9","3","",,NA,"6.5","6",NA,"","3","",,NA,"740.6","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-11.6","7",NA,"2.5","6","-28.7","1","",,NA,"3.0","7",NA,"","0","",,NA,"711.4","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-13.0","3",NA,"3.8","3","-33.0","0","",,NA,"5.1","3",NA,"","3","",,NA,"866.6","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","-11.5","0",NA,"4.5","0","-27.9","0","",,NA,"16.0","0",NA,"","5","",,NA,"913.5","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-13.2","0",NA,"3.7","0","-32.6","0","",,NA,"13.2","0",NA,"","5","",,NA,"966.3","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-13.5","0",NA,"3.4","0","-31.0","0","",,NA,"5.7","0",NA,"","1","",,NA,"975.9","0.0","3010992"
"CALMAR","53.290","-113.863","AB","",,"","-16.0","30","-31.0","30","0.0","30",NA,"0.0","30",NA,"","0","","",NA,"","","3011120"
"CAMROSE","53.050","-112.817","AB","-13.3","1","-3.3","4.5","1","-31.3","0","",,NA,"11.1","1",NA,"24.0","4","",,NA,"938.5","0.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","-13.0","5",NA,"3.9","4","-31.6","3","",,NA,"19.6","6",NA,"","8","",,NA,"805.4","0.0","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","-14.0","0",NA,"3.9","0","-32.6","0","",,NA,"3.9","0",NA,"","2","",,NA,"991.8","0.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","-12.3","4",NA,"3.3","4","-32.6","0","",,NA,"12.2","4",NA,"","3","",,NA,"817.9","0.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","-11.3","2",NA,"3.4","2","-27.8","0","",,NA,"11.3","2",NA,"","3","",,NA,"849.2","0.0","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","-14.7","6",NA,"2.7","6","-34.8","1","",,NA,"5.3","6",NA,"","1","",,NA,"816.3","0.0","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","-14.8","10",NA,"2.9","8","-32.9","4","",,NA,"3.5","9",NA,"","1","",,NA,"689.0","0.0","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","-13.4","0",NA,"3.9","0","-33.0","0","",,NA,"32.4","3",NA,"6.0","10","",,NA,"973.6","0.0","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","-11.3","0",NA,"4.0","0","-27.3","0","",,NA,"13.2","0",NA,"10.0","3","",,NA,"909.0","0.0","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","-12.4","2",NA,"3.9","2","-30.1","1","",,NA,"6.0","2",NA,"","1","",,NA,"881.5","0.0","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","-13.6","1",NA,"3.4","1","-32.8","0","15.3","0",NA,"15.1","0",NA,"12.0","5","",,NA,"949.2","0.0","3012216"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","-11.0","9",NA,"4.2","9","-30.3","8","",,NA,"0.0","9",NA,"","0","",,NA,"637.9","0.0","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","-11.7","0","-2.8","3.9","0","-27.4","0","21.8","0","115.0","15.6","0","92.0","14.0","5","",,NA,"920.0","0.0","301222F"
"ELK ISLAND NAT PARK","53.683","-112.868","AB","-11.9","0","-2.3","6.1","0","-30.1","0","",,NA,"14.9","0","89.0","15.0","6","",,NA,"925.8","0.0","3012275"
"FABYAN","52.967","-111.000","AB","-14.9","0","-2.7","2.0","0","-33.5","0","8.6","0","49.0","8.6","0","48.0","0.0","5","","",NA,"1019.0","0.0","3012515"
"FERINTOSH AGCM","52.744","-112.858","AB","-9.0","13",NA,"2.4","12","-26.2","10","",,NA,"5.4","15",NA,"","2","",,NA,"485.9","0.0","3012590"
"FORESTBURG PLANT SITE","52.467","-112.120","AB","-11.6","0","-3.2","3.0","0","-32.0","0","13.8","0","119.0","13.8","0","117.0","0.0","3","","",NA,"917.8","0.0","3012652"
"FORESTBURG AGCM","52.548","-112.123","AB","-12.9","3",NA,"3.4","3","-31.3","0","",,NA,"5.2","3",NA,"","2","",,NA,"865.3","0.0","3012653"
"FORT SASKATCHEWAN","53.717","-113.183","AB","-13.0","23","-2.6","7.0","23","-32.0","23","1.0","23",NA,"1.0","23",NA,"","1","","",NA,"248.3","0.0","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","-13.6","4",NA,"2.1","4","-34.6","0","",,NA,"5.9","4",NA,"","1","",,NA,"853.6","0.0","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","-10.3","7",NA,"4.4","7","-28.5","1","",,NA,"",,NA,"","","",,NA,"678.4","0.0","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","-13.4","0",NA,"4.0","0","-30.3","0","",,NA,"5.4","11",NA,"","1","",,NA,"971.9","0.0","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","-13.7","0",NA,"6.3","0","-32.3","0","",,NA,"6.3","21",NA,"","3","",,NA,"983.0","0.0","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","-13.6","6",NA,"1.8","6","-31.7","1","",,NA,"12.0","6",NA,"","3","",,NA,"790.2","0.0","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","-15.1","12",NA,"2.1","11","-33.4","4","",,NA,"2.3","14",NA,"","0","",,NA,"628.3","0.0","3013362"
"KILLAM AGDM","52.848","-111.872","AB","-15.4","8",NA,"2.1","5","-31.9","4","",,NA,"21.7","10",NA,"","9","",,NA,"768.3","0.0","3013640"
"KITSCOTY AGCM","53.353","-110.416","AB","-14.1","2",NA,"1.7","2","-31.9","0","",,NA,"4.9","2",NA,"","2","",,NA,"931.7","0.0","3013660"
"LEGAL AGCM","54.003","-113.474","AB","-12.7","8",NA,"2.9","7","-31.1","2","",,NA,"9.7","10",NA,"","5","",,NA,"705.9","0.0","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","-14.2","6",NA,"1.9","5","-34.6","4","",,NA,"3.3","8",NA,"","1","",,NA,"805.6","0.0","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","-15.9","4",NA,"1.4","4","-31.9","4","",,NA,"0.0","4",NA,"","0","",,NA,"914.8","0.0","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","-14.2","0","-1.7","2.0","0","-30.5","0","13.6","0","89.0","12.4","0","86.0","8.0","6","","",NA,"997.1","0.0","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"14.6","0","115.0","14.6","0","114.0","20.0","3","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","-16.4","13",NA,"3.1","13","-32.7","9","",,NA,"4.2","15",NA,"","1","",,NA,"618.8","0.0","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"9.0","5",NA,"9.0","5",NA,"0.0","2","","",NA,"","","3014600"
