"Environment and Climate Change Canada"
"Monthly Values for September - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","8.9","4",NA,"24.2","4","-6.0","0","",,NA,"28.3","4",NA,"","6","",,NA,"235.5","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","10.8","0",NA,"28.8","0","-2.5","0","",,NA,"22.1","1",NA,"","5","",,NA,"217.2","0.6","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","10.6","3",NA,"25.7","2","-1.4","1","",,NA,"10.1","3",NA,"","4","",,NA,"198.8","0.0","3010162"
"ANDREW","54.017","-112.233","AB","11.7","5","1.4","27.0","5","-1.0","5","0.0","5",NA,"23.0","5",NA,"","7","","",NA,"158.5","1.5","3010234"
"ANDREW AGDM","53.917","-112.279","AB","9.7","12",NA,"24.5","7","-3.1","11","",,NA,"24.3","13",NA,"","4","",,NA,"150.1","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","12.5","10",NA,"27.5","7","0.2","3","",,NA,"17.2","10",NA,"","6","",,NA,"112.2","2.3","3010650"
"BODO AGDM","52.124","-110.101","AB","11.4","2",NA,"29.5","2","-1.4","0","",,NA,"21.7","2",NA,"","6","",,NA,"187.2","3.1","3010730"
"BRETON PLOTS","53.089","-114.441","AB","10.2","0",NA,"25.2","0","-1.3","0","",,NA,"58.3","0",NA,"","8","",,NA,"234.3","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","10.0","0",NA,"23.7","0","-3.5","0","",,NA,"33.3","1",NA,"","7","",,NA,"239.3","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","11.5","3",NA,"28.2","1","-0.8","2","",,NA,"11.4","4",NA,"","6","",,NA,"178.5","2.6","3010992"
"CALMAR","53.290","-113.863","AB","",,"","26.0","29","7.0","29","0.0","29",NA,"0.0","29",NA,"","0","","",NA,"","","3011120"
"CAMROSE","53.035","-112.814","AB","10.4","0","0.0","25.3","0","-2.0","0","",,NA,"17.3","0","43.0","","2","",,NA,"228.7","0.0","3011240"
"CARNWOOD","53.234","-114.654","AB","10.0","0",NA,"24.0","0","-3.0","0","0.0","0",NA,"99.0","0",NA,"0.0","11","","",NA,"238.8","0.0","3011350"
"CONSORT AGDM","51.937","-110.713","AB","11.2","3",NA,"28.3","2","0.7","1","",,NA,"27.8","5",NA,"","9","",,NA,"187.7","2.8","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","10.1","0",NA,"25.8","0","-3.0","0","",,NA,"21.3","0",NA,"","7","",,NA,"237.9","0.4","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","10.0","5",NA,"25.0","4","-3.4","1","",,NA,"19.3","5",NA,"","6","",,NA,"200.7","0.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","10.9","3",NA,"24.6","2","0.4","1","",,NA,"26.4","3",NA,"","7","",,NA,"192.9","0.0","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","10.9","4",NA,"28.8","2","-1.5","2","",,NA,"15.1","4",NA,"","2","",,NA,"186.3","1.7","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","11.5","3",NA,"28.5","2","-1.0","1","",,NA,"11.0","3",NA,"","3","",,NA,"177.0","2.0","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","9.8","0",NA,"25.7","0","-4.5","0","",,NA,"27.6","0",NA,"","5","",,NA,"247.0","0.0","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","11.9","1",NA,"26.3","1","1.5","0","",,NA,"18.4","1",NA,"","3","",,NA,"177.8","0.0","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","10.8","0",NA,"25.4","0","-1.0","0","",,NA,"18.0","7",NA,"","5","",,NA,"214.7","0.0","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","9.8","0",NA,"25.4","0","-4.3","0","0.4","0",NA,"21.5","0",NA,"","4","",,NA,"246.1","0.0","3012216"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","11.1","8",NA,"24.1","8","-1.9","8","",,NA,"17.9","8",NA,"","5","",,NA,"152.4","0.0","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","11.2","0","0.1","25.1","0","0.6","0","0.0","0","0.0","35.8","0","81.0","0.0","7","",,NA,"204.1","0.0","301222F"
