"Environment and Climate Change Canada"
"Monthly Values for March - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"FORT SASKATCHEWAN","53.717","-113.183","AB","-4.6","12","-0.9","20.0","12","-26.0","12","9.0","12",NA,"9.5","12",NA,"0.0","2","","",NA,"429.3","0.0","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","-6.5","3",NA,"12.7","3","-26.8","0","",,NA,"9.6","3",NA,"","3","",,NA,"684.6","0.0","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","-5.4","1",NA,"13.0","1","-26.6","0","",,NA,"",,NA,"","","",,NA,"700.5","0.0","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","-4.5","1",NA,"12.8","0","-25.9","1","",,NA,"6.4","19",NA,"","3","",,NA,"674.5","0.0","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","-3.7","1",NA,"15.9","0","-25.6","1","",,NA,"6.1","21",NA,"","2","",,NA,"650.5","0.0","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","-5.7","13",NA,"11.2","7","-25.3","10","",,NA,"5.9","14",NA,"","3","",,NA,"426.9","0.0","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","-5.1","2",NA,"13.7","0","-25.2","2","",,NA,"23.5","3",NA,"","4","",,NA,"671.1","0.0","3013362"
"KILLAM AGDM","52.848","-111.872","AB","-6.4","2",NA,"12.6","0","-27.9","2","",,NA,"35.1","4",NA,"","16","",,NA,"707.8","0.0","3013640"
"KITSCOTY AGCM","53.353","-110.416","AB","-7.1","1",NA,"11.0","1","-29.1","0","",,NA,"14.5","1",NA,"","3","",,NA,"751.9","0.0","3013660"
"LEGAL AGCM","54.003","-113.474","AB","-11.3","14",NA,"6.8","13","-26.9","6","",,NA,"8.6","14",NA,"","4","",,NA,"498.9","0.0","3013790"
