"Environment and Climate Change Canada"
"Monthly Values for April - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","5.8","6",NA,"24.1","4","-8.5","2","",,NA,"26.9","5",NA,"","8","",,NA,"292.9","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","6.3","0",NA,"25.9","0","-7.2","0","",,NA,"26.5","0",NA,"","5","",,NA,"351.4","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","7.2","0",NA,"27.4","0","-9.0","0","",,NA,"26.4","1",NA,"","4","",,NA,"324.3","0.0","3010162"
"ANDREW","54.017","-112.233","AB","7.2","7","2.5","25.0","7","-6.0","7","3.8","7",NA,"16.8","7",NA,"","4","","",NA,"249.2","0.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","6.3","4",NA,"24.1","4","-6.5","1","",,NA,"20.9","4",NA,"","5","",,NA,"303.0","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","7.3","4",NA,"27.2","4","-7.0","0","",,NA,"19.8","5",NA,"","2","",,NA,"277.7","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","7.4","7",NA,"26.7","6","-7.6","2","",,NA,"4.3","8",NA,"","1","",,NA,"243.4","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","7.8","0",NA,"24.6","0","-6.9","0","",,NA,"3.7","0",NA,"","1","",,NA,"307.4","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","7.3","0",NA,"25.3","0","-5.6","0","",,NA,"12.6","0",NA,"","3","",,NA,"320.4","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","6.9","3",NA,"27.3","1","-8.2","2","",,NA,"20.1","1",NA,"","5","",,NA,"300.1","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","7.0","0","2.5","25.0","0","-9.0","0","",,NA,"7.4","0","26.0","","3","",,NA,"331.0","0.0","3011240"
"CAMROSE 2","52.950","-112.800","AB","8.6","15",NA,"27.0","8","-7.0","9","0.0","6",NA,"1.8","6",NA,"0.0","1","","",NA,"141.0","0.0","3011241"
"CARNWOOD","53.234","-114.654","AB","7.8","0",NA,"25.5","0","-8.5","0","0.0","0",NA,"6.0","0",NA,"0.0","4","","",NA,"304.6","0.0","3011350"
"CONSORT AGDM","51.937","-110.713","AB","6.3","3",NA,"21.3","3","-8.7","0","",,NA,"26.5","5",NA,"","3","",,NA,"314.7","0.0","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","6.3","0",NA,"25.5","0","-8.1","0","",,NA,"36.3","0",NA,"","4","",,NA,"351.9","0.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","9.1","14",NA,"25.2","12","-5.9","10","",,NA,"0.5","14",NA,"","0","",,NA,"143.0","0.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","7.9","0",NA,"26.8","0","-6.3","0","",,NA,"17.7","1",NA,"","2","",,NA,"304.2","0.0","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","5.7","3",NA,"26.0","3","-7.2","0","",,NA,"16.6","3",NA,"","4","",,NA,"333.3","0.0","3012073"
"DONALDA SOUTH","52.517","-112.351","AB","7.5","0",NA,"28.5","0","-10.0","0","4.1","0",NA,"20.3","0",NA,"0.0","4","","",NA,"314.2","0.0","3012095"
"EDGERTON AGCM","52.778","-110.433","AB","6.0","11",NA,"22.4","9","-8.3","4","",,NA,"16.5","13",NA,"","4","",,NA,"227.7","0.0","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","7.2","0",NA,"26.0","0","-10.6","0","",,NA,"0.9","25",NA,"","0","",,NA,"324.4","0.0","3012206"
