"Environment and Climate Change Canada"
"Monthly Values for January - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ABEE AGDM","54.283","-112.967","AB","-12.3","3",NA,"5.3","2","-36.7","2","",,NA,"5.7","4",NA,"","2","",,NA,"847.5","0.0","3010010"
"ALBERT HALL AGCM","53.113","-111.181","AB","-11.0","0",NA,"7.2","0","-36.0","0","",,NA,"9.5","0",NA,"","3","",,NA,"900.1","0.0","3010060"
"ALLIANCE AGCM","52.315","-111.779","AB","-9.5","0",NA,"10.3","0","-31.9","0","",,NA,"5.4","1",NA,"","1","",,NA,"853.0","0.0","3010162"
"ANDREW","54.017","-112.233","AB","-10.0","3","3.4","5.0","3","-35.0","3","5.6","3",NA,"5.6","3",NA,"","5","","",NA,"784.0","0.0","3010234"
"ANDREW AGDM","53.917","-112.279","AB","-10.5","1",NA,"6.6","0","-30.1","1","",,NA,"6.3","1",NA,"","2","",,NA,"853.6","0.0","3010237"
"BELLSHILL AGCM","52.582","-111.465","AB","-9.8","3",NA,"8.7","3","-30.7","0","",,NA,"6.8","3",NA,"","2","",,NA,"777.8","0.0","3010650"
"BODO AGDM","52.124","-110.101","AB","-12.9","5",NA,"7.3","5","-32.5","2","",,NA,"8.7","6",NA,"","3","",,NA,"804.0","0.0","3010730"
"BRETON PLOTS","53.089","-114.441","AB","-7.4","0",NA,"12.2","0","-26.4","0","",,NA,"9.9","0",NA,"","2","",,NA,"786.2","0.0","3010816"
"BUSBY AGCM","53.931","-113.922","AB","-10.1","0",NA,"7.1","0","-31.6","0","",,NA,"14.3","0",NA,"","5","",,NA,"872.3","0.0","3010979"
"CADOGAN AGCM","52.334","-110.510","AB","-10.4","0",NA,"8.5","0","-33.7","0","",,NA,"7.7","0",NA,"","3","",,NA,"881.0","0.0","3010992"
"CAMROSE","53.050","-112.817","AB","-10.2","0","1.4","8.9","0","-29.7","0","",,NA,"10.9","0","48.0","28.0","4","",,NA,"872.8","0.0","3011240"
"CONSORT AGDM","51.937","-110.713","AB","-11.2","1",NA,"7.7","1","-32.8","0","",,NA,"24.0","3",NA,"","10","",,NA,"877.0","0.0","3011815"
"CORONATION CLIMATE","52.074","-111.449","AB","-11.3","0",NA,"9.1","0","-33.5","0","",,NA,"4.7","0",NA,"","3","",,NA,"906.9","0.0","3011887"
"CRESTOMERE AGCM","52.733","-113.903","AB","-11.3","7",NA,"10.6","7","-31.2","4","",,NA,"5.6","9",NA,"","2","",,NA,"702.4","0.0","3011892"
"DELBURNE AGCM","52.183","-113.176","AB","-8.8","1",NA,"11.1","1","-29.2","0","",,NA,"3.6","2",NA,"","1","",,NA,"805.3","0.0","3012050"
"DEWBERRY AGCM","53.659","-110.588","AB","-12.7","4",NA,"8.1","4","-34.7","0","",,NA,"8.4","5",NA,"","2","",,NA,"828.8","0.0","3012073"
"EDGERTON AGCM","52.778","-110.433","AB","-11.8","4",NA,"7.7","4","-35.4","0","",,NA,"7.7","5",NA,"","3","",,NA,"805.3","0.0","3012192"
"EDMONTON INTERNATIONAL CS","53.307","-113.606","AB","-10.1","0",NA,"7.8","0","-32.7","0","",,NA,"28.1","0",NA,"8.0","8","",,NA,"870.4","0.0","3012206"
"EDMONTON BLATCHFORD","53.573","-113.517","AB","-8.1","0",NA,"8.6","0","-25.6","0","",,NA,"9.4","0",NA,"21.0","3","",,NA,"809.3","0.0","3012209"
"EDMONTON NAMAO AWOS A","53.667","-113.467","AB","-9.0","0",NA,"7.3","0","-30.5","0","",,NA,"9.0","0",NA,"","3","",,NA,"837.1","0.0","3012212"
"EDMONTON INTL A","53.310","-113.579","AB","-10.2","0",NA,"6.6","0","-32.5","0","11.8","0",NA,"10.8","0",NA,"9.0","3","",,NA,"873.1","0.0","3012216"
"EDMONTON VILLENEUVE A","53.668","-113.856","AB","-7.6","4",NA,"10.0","4","-29.7","4","",,NA,"0.0","4",NA,"","0","",,NA,"691.3","0.0","3012229"
"EDMONTON STONY PLAIN","53.548","-114.108","AB","-7.7","0","2.2","8.5","0","-26.7","0","10.0","0","42.0","7.6","0","35.0","4.0","3","",,NA,"797.2","0.0","301222F"
