"Environment and Climate Change Canada"
"Monthly Values for February - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ELK ISLAND NAT PARK","53.683","-112.868","AB","-2.6","0","6.6","13.5","0","-17.8","0","",,NA,"8.6","0","76.0","10.0","2","",,NA,"597.9","0.0","3012275"
"FABYAN","52.967","-111.000","AB","-5.3","0","6.1","8.0","0","-19.0","0","4.0","0","39.0","4.0","0","38.0","","3","","",NA,"676.7","0.0","3012515"
"FERINTOSH AGCM","52.744","-112.858","AB","-3.7","1",NA,"8.9","1","-16.5","1","",,NA,"5.5","2",NA,"","1","",,NA,"608.0","0.0","3012590"
"FORESTBURG PLANT SITE","52.467","-112.120","AB","-1.5","2","5.9","12.0","2","-15.0","2","13.8","2",NA,"13.8","2",NA,"0.0","4","","",NA,"527.6","0.0","3012652"
"FORESTBURG AGCM","52.548","-112.123","AB","-2.1","1",NA,"13.6","1","-15.5","1","",,NA,"5.7","2",NA,"","3","",,NA,"563.0","0.0","3012653"
"FORT SASKATCHEWAN","53.717","-113.183","AB","-0.7","18","8.6","8.5","18","-14.0","18","0.0","18",NA,"0.0","18",NA,"","0","","",NA,"206.0","0.0","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","-5.4","5",NA,"5.4","5","-18.6","1","",,NA,"6.2","5",NA,"","3","",,NA,"561.2","0.0","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","-1.3","3",NA,"14.0","2","-15.0","2","",,NA,"",,NA,"","","",,NA,"500.5","0.0","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","-4.1","0",NA,"8.6","0","-16.2","0","",,NA,"4.9","4",NA,"","2","",,NA,"640.7","0.0","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","-5.0","1",NA,"8.2","1","-16.5","1","",,NA,"9.7","2",NA,"","3","",,NA,"645.0","0.0","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","-4.2","3",NA,"9.8","3","-17.8","1","",,NA,"7.6","4",NA,"","2","",,NA,"576.0","0.0","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","-3.7","3",NA,"10.7","3","-17.9","1","",,NA,"7.6","4",NA,"","3","",,NA,"564.7","0.0","3013362"
