"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","4.1","8",NA,"18.9","6","-4.6","7","",,NA,"36.9","9",NA,"","6","",,NA,"305.1","0.0","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","3.0","4",NA,"14.3","3","-6.8","1","",,NA,"",,NA,"","","",,NA,"391.1","0.0","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","2.9","0",NA,"19.3","0","-10.6","0","",,NA,"32.3","15",NA,"","8","",,NA,"452.1","0.0","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","3.4","0",NA,"20.2","0","-6.7","0","",,NA,"32.8","11",NA,"","7","",,NA,"437.9","0.0","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","2.8","6",NA,"16.5","4","-10.3","5","",,NA,"45.9","6",NA,"","11","",,NA,"364.8","0.0","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","3.2","1",NA,"19.7","1","-8.1","0","",,NA,"46.9","2",NA,"","12","",,NA,"429.5","0.0","3013362"
"KILLAM AGDM","52.848","-111.872","AB","3.4","7",NA,"17.6","4","-7.8","4","",,NA,"42.2","6",NA,"","14","",,NA,"335.7","0.0","3013640"
"KITSCOTY AGCM","53.353","-110.416","AB","2.3","5",NA,"17.2","3","-9.8","3","",,NA,"43.7","5",NA,"","10","",,NA,"392.6","0.0","3013660"
"LEGAL AGCM","54.003","-113.474","AB","2.8","7",NA,"15.7","5","-8.3","3","",,NA,"58.6","8",NA,"","10","",,NA,"349.8","0.0","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","2.6","8",NA,"16.9","5","-9.6","6","",,NA,"51.3","10",NA,"","9","",,NA,"338.1","0.0","3013921"
