"Environment and Climate Change Canada"
"Monthly Values for June - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","14.9","5",NA,"27.3","5","3.8","1","",,NA,"55.2","6",NA,"","7","",,NA,"81.5","4.0","3012790"
"GLENEVIS AGCM","53.833","-114.539","AB","14.8","1",NA,"26.1","1","2.8","0","",,NA,"",,NA,"","","",,NA,"97.4","5.5","3012818"
"HALKIRK AGCM","52.116","-112.164","AB","14.7","2",NA,"28.5","1","4.2","1","",,NA,"51.2","16",NA,"","6","",,NA,"96.8","5.2","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","14.7","0",NA,"31.0","0","1.3","0","",,NA,"51.6","2",NA,"","9","",,NA,"103.1","5.4","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","14.3","18",NA,"27.3","17","5.0","9","",,NA,"32.4","19",NA,"","7","",,NA,"45.3","0.4","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","15.5","9",NA,"29.0","7","4.5","7","",,NA,"40.2","12",NA,"","6","",,NA,"57.5","5.1","3013362"
"KILLAM AGDM","52.848","-111.872","AB","14.7","4",NA,"28.9","3","4.5","1","",,NA,"94.6","4",NA,"","15","",,NA,"90.2","4.4","3013640"
"KITSCOTY AGCM","53.353","-110.416","AB","14.8","4",NA,"26.3","4","4.2","1","",,NA,"67.0","4",NA,"","12","",,NA,"88.4","4.6","3013660"
"LEGAL AGCM","54.003","-113.474","AB","15.1","4",NA,"26.7","4","4.6","1","",,NA,"83.4","4",NA,"","10","",,NA,"78.4","4.1","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","13.3","5",NA,"24.7","4","1.9","1","",,NA,"84.8","6",NA,"","11","",,NA,"117.0","0.0","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","14.9","7",NA,"27.3","7","3.0","7","",,NA,"74.4","8",NA,"","14","",,NA,"75.7","4.0","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","15.2","0","0.5","27.5","0","3.0","0","0.0","0",NA,"113.5","0","161.0","0.0","14","","",NA,"92.9","7.6","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"0.0","0","0.0","99.6","0","140.0","0.0","12","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","14.9","0",NA,"27.0","0","4.4","0","",,NA,"82.0","1",NA,"","11","",,NA,"96.7","4.7","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"0.0","0",NA,"55.9","0","72.0","0.0","10","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","14.4","7",NA,"26.1","6","5.0","2","",,NA,"72.0","10",NA,"","10","",,NA,"82.1","0.0","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","14.6","3",NA,"26.6","3","2.5","1","",,NA,"77.9","3",NA,"","10","",,NA,"93.7","2.3","3014690"
"NEW SAREPTA AGCM","53.262","-113.165","AB","14.9","1",NA,"28.1","1","4.7","0","",,NA,"71.2","1",NA,"","9","",,NA,"97.3","7.3","3014795"
"OLIVER AGDM","53.650","-113.350","AB","15.1","3",NA,"27.2","2","3.5","1","",,NA,"",,NA,"","","",,NA,"86.4","7.2","3014921"
"RADWAY AGCM","53.995","-112.879","AB","15.3","0",NA,"27.7","0","3.0","0","",,NA,"",,NA,"","","",,NA,"88.1","6.1","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","15.3","0",NA,"27.8","0","4.9","0","",,NA,"63.4","0",NA,"","12","",,NA,"86.2","4.9","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","15.2","4",NA,"28.6","4","2.6","1","",,NA,"42.3","6",NA,"","7","",,NA,"80.3","7.4","3015480"
"RIVERCOURSE AGCM","53.019","-110.102","AB","15.0","5",NA,"27.3","5","2.6","1","",,NA,"53.3","5",NA,"","8","",,NA,"82.5","6.4","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","13.4","6",NA,"25.0","6","1.0","4","",,NA,"105.5","6",NA,"","9","",,NA,"109.5","0.0","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","14.9","0",NA,"28.0","0","3.7","0","",,NA,"97.2","0",NA,"","10","",,NA,"97.6","5.2","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","14.4","5",NA,"25.2","4","4.3","2","",,NA,"88.9","5",NA,"","11","",,NA,"89.5","0.0","3015673"
"ST. PAUL AGCM","54.011","-111.272","AB","14.9","23",NA,"25.7","20","7.8","21","",,NA,"19.1","22",NA,"","4","",,NA,"21.6","0.0","3015676"
"SEDALIA AGCM","51.590","-110.755","AB","15.5","0",NA,"32.4","0","1.5","0","",,NA,"59.4","0",NA,"","11","",,NA,"85.0","9.1","3015797"
"SHONTS AGCM","53.333","-112.539","AB","14.8","0",NA,"27.9","0","4.3","0","",,NA,"71.3","0",NA,"","9","",,NA,"99.7","4.4","3015900"
"SMOKY LAKE AGDM","54.278","-112.499","AB","14.3","0",NA,"26.0","0","2.0","0","",,NA,"86.4","0",NA,"","12","",,NA,"113.5","3.4","3016022"
"SPONDIN AGCM","51.816","-111.683","AB","14.7","0",NA,"31.3","0","1.4","0","",,NA,"3.9","24",NA,"","1","",,NA,"101.1","3.1","3016070"
"STETTLER AGDM","52.347","-112.596","AB","14.5","3",NA,"26.3","3","5.0","0","",,NA,"80.9","3",NA,"","10","",,NA,"98.7","3.6","3016124"
