"Environment and Climate Change Canada"
"Monthly Values for May - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"FORT SASKATCHEWAN","53.717","-113.183","AB","15.8","7","4.7","34.0","7","3.0","7","0.0","7",NA,"12.2","7",NA,"0.0","2","","",NA,"66.5","14.4","3012710"
"GILT EDGE NORTH AGCM","53.071","-110.621","AB","15.0","7",NA,"31.6","7","-0.7","0","",,NA,"18.0","8",NA,"","3","",,NA,"78.4","5.9","3012790"
"ST. FRANCIS","53.295","-114.320","AB","15.9","13",NA,"28.6","13","5.3","13","",,NA,"21.0","13",NA,"","3","",,NA,"51.4","14.4","3012799"
"GLADSTONE AGCM","52.987","-112.278","AB","15.0","13",NA,"29.7","13","0.7","13","",,NA,"25.9","13",NA,"","4","",,NA,"58.4","5.2","3012810"
"GLENEVIS AGCM","53.833","-114.539","AB","13.9","0",NA,"28.9","0","-0.2","0","",,NA,"",,NA,"","","",,NA,"129.0","2.2","3012818"
"GOOSEBERRY LAKE AGCM","52.113","-110.803","AB","14.8","13",NA,"32.6","13","-0.8","13","",,NA,"24.2","18",NA,"","2","",,NA,"62.7","5.6","3012871"
"HALKIRK AGCM","52.116","-112.164","AB","13.8","1",NA,"30.9","1","1.1","0","",,NA,"19.8","20",NA,"","5","",,NA,"129.4","4.2","3012999"
"HEMARUKA AGCM","51.780","-111.212","AB","13.5","0",NA,"31.3","0","-0.8","0","",,NA,"31.6","18",NA,"","3","",,NA,"144.7","4.8","3013140"
"HOLDEN AGDM","53.185","-112.246","AB","13.3","0",NA,"29.4","0","-0.9","0","",,NA,"11.7","14",NA,"","3","",,NA,"149.1","4.1","3013340"
"HUGHENDEN AGCM","52.578","-110.784","AB","14.4","5",NA,"31.1","5","-2.4","0","",,NA,"24.7","5",NA,"","3","",,NA,"101.8","7.3","3013362"
